x,y_obs,weight,y_calc,y_bkg,Q
41.1386,0.314583,1,0.33004,0.32623,2.866
41.1588,0.34375,1,0.329861,0.326082,2.86734
41.179,0.320833,1,0.329684,0.325934,2.86869
41.1993,0.33125,1,0.329506,0.325787,2.87004
41.2195,0.313542,1,0.32933,0.32564,2.87139
41.2397,0.305208,1,0.329154,0.325494,2.87274
41.2599,0.314583,1,0.328979,0.325347,2.87408
41.2802,0.314583,1,0.328805,0.325201,2.87543
41.3004,0.332292,1,0.328632,0.325056,2.87678
41.3206,0.316667,1,0.328459,0.324911,2.87812
41.3408,0.298958,1,0.328287,0.324766,2.87947
41.3611,0.315625,1,0.328115,0.324621,2.88082
41.3813,0.327083,1,0.327944,0.324477,2.88217
41.4015,0.353125,1,0.327774,0.324333,2.88351
41.4217,0.332292,1,0.327605,0.32419,2.88486
41.442,0.322917,1,0.327436,0.324047,2.88621
41.4622,0.332292,1,0.327268,0.323904,2.88755
41.4824,0.317708,1,0.3271,0.323762,2.8889
41.5026,0.310417,1,0.326934,0.32362,2.89025
41.5229,0.314583,1,0.326768,0.323478,2.89159
41.5431,0.304167,1,0.326602,0.323337,2.89294
41.5633,0.319792,1,0.326437,0.323196,2.89428
41.5836,0.329167,1,0.326273,0.323056,2.89563
41.6038,0.347917,1,0.32611,0.322915,2.89698
41.624,0.285417,1,0.325947,0.322776,2.89832
41.6442,0.329167,1,0.325784,0.322636,2.89967
41.6645,0.310417,1,0.325623,0.322497,2.90101
41.6847,0.366667,1,0.325462,0.322359,2.90236
41.7049,0.338542,1,0.325301,0.32222,2.90371
41.7251,0.311458,1,0.325142,0.322082,2.90505
41.7454,0.342708,1,0.324983,0.321945,2.9064
41.7656,0.301042,1,0.324824,0.321808,2.90774
41.7858,0.311458,1,0.324666,0.321671,2.90909
41.806,0.322917,1,0.324509,0.321534,2.91043
41.8263,0.342708,1,0.324352,0.321398,2.91178
41.8465,0.292708,1,0.324196,0.321263,2.91312
41.8667,0.298958,1,0.324041,0.321127,2.91447
41.8869,0.313542,1,0.323886,0.320992,2.91581
41.9072,0.307292,1,0.323232,0.320858,2.91716
41.9274,0.321875,1,0.32308,0.320724,2.9185
41.9476,0.336458,1,0.322929,0.32059,2.91985
41.9678,0.351042,1,0.322778,0.320456,2.92119
41.9881,0.338542,1,0.322378,0.320323,2.92253
42.0083,0.328125,1,0.32223,0.320191,2.92388
42.0285,0.33125,1,0.322082,0.320058,2.92522
42.0488,0.346875,1,0.321935,0.319927,2.92657
42.069,0.338542,1,0.321788,0.319795,2.92791
42.0892,0.3375,1,0.321642,0.319664,2.92925
42.1094,0.333333,1,0.321496,0.319533,2.9306
42.1297,0.290625,1,0.321351,0.319403,2.93194
42.1499,0.313542,1,0.321207,0.319273,2.93328
42.1701,0.31875,1,0.321063,0.319144,2.93463
42.1903,0.327083,1,0.320919,0.319014,2.93597
42.2106,0.339583,1,0.320777,0.318886,2.93731
42.2308,0.344792,1,0.320634,0.318757,2.93866
42.251,0.339583,1,0.320493,0.318629,2.94
42.2712,0.311458,1,0.320351,0.318502,2.94134
42.2915,0.336458,1,0.320211,0.318375,2.94269
42.3117,0.3375,1,0.320071,0.318248,2.94403
42.3319,0.341667,1,0.319931,0.318121,2.94537
42.3521,0.31875,1,0.319792,0.317996,2.94672
42.3724,0.319792,1,0.319653,0.31787,2.94806
42.3926,0.315625,1,0.319516,0.317745,2.9494
42.4128,0.310417,1,0.319378,0.31762,2.95074
42.433,0.33125,1,0.319241,0.317496,2.95208
42.4533,0.319792,1,0.319105,0.317372,2.95343
42.4735,0.341667,1,0.318969,0.317248,2.95477
42.4937,0.333333,1,0.318834,0.317125,2.95611
42.514,0.296875,1,0.318699,0.317002,2.95745
42.5342,0.285417,1,0.318565,0.31688,2.95879
42.5544,0.311458,1,0.318431,0.316758,2.96014
42.5746,0.3125,1,0.318298,0.316636,2.96148
42.5949,0.34375,1,0.318165,0.316515,2.96282
42.6151,0.311458,1,0.318033,0.316394,2.96416
42.6353,0.297917,1,0.317902,0.316274,2.9655
42.6555,0.296875,1,0.317771,0.316154,2.96684
42.6758,0.314583,1,0.31764,0.316035,2.96819
42.696,0.326042,1,0.31751,0.315916,2.96953
42.7162,0.310417,1,0.317381,0.315797,2.97087
42.7364,0.321875,1,0.317252,0.315679,2.97221
42.7567,0.330208,1,0.317123,0.315561,2.97355
42.7769,0.29375,1,0.316995,0.315443,2.97489
42.7971,0.294792,1,0.316868,0.315326,2.97623
42.8173,0.295833,1,0.316741,0.31521,2.97757
42.8376,0.340625,1,0.316615,0.315094,2.97891
42.8578,0.309375,1,0.316489,0.314978,2.98025
42.878,0.321875,1,0.316364,0.314862,2.98159
42.8982,0.3125,1,0.316239,0.314748,2.98293
42.9185,0.286458,1,0.316114,0.314633,2.98427
42.9387,0.336458,1,0.315991,0.314519,2.98561
42.9589,0.33125,1,0.315867,0.314405,2.98695
42.9792,0.354167,1,0.315745,0.314292,2.98829
42.9994,0.3125,1,0.315622,0.314179,2.98963
43.0196,0.334375,1,0.315501,0.314067,2.99097
43.0398,0.313542,1,0.315379,0.313955,2.99231
43.0601,0.333333,1,0.315259,0.313843,2.99365
43.0803,0.323958,1,0.315138,0.313732,2.99499
43.1005,0.297917,1,0.315019,0.313621,2.99633
43.1207,0.298958,1,0.3149,0.313511,2.99767
43.141,0.332292,1,0.314781,0.313401,2.99901
43.1612,0.339583,1,0.314663,0.313291,3.00035
43.1814,0.319792,1,0.314545,0.313182,3.00168
43.2016,0.307292,1,0.314428,0.313074,3.00302
43.2219,0.335417,1,0.314311,0.312966,3.00436
43.2421,0.339583,1,0.314195,0.312858,3.0057
43.2623,0.304167,1,0.31408,0.31275,3.00704
43.2825,0.291667,1,0.313964,0.312644,3.00838
43.3028,0.334375,1,0.31385,0.312537,3.00972
43.323,0.341667,1,0.313736,0.312431,3.01105
43.3432,0.313542,1,0.313622,0.312325,3.01239
43.3634,0.313542,1,0.313509,0.31222,3.01373
43.3837,0.317708,1,0.313396,0.312115,3.01507
43.4039,0.30625,1,0.313284,0.312011,3.0164
43.4241,0.328125,1,0.313173,0.311907,3.01774
43.4443,0.309375,1,0.313061,0.311804,3.01908
43.4646,0.316667,1,0.312951,0.311701,3.02042
43.4848,0.308333,1,0.312841,0.311598,3.02176
43.505,0.338542,1,0.312731,0.311496,3.02309
43.5253,0.335417,1,0.312622,0.311394,3.02443
43.5455,0.317708,1,0.312513,0.311293,3.02577
43.5657,0.297917,1,0.312405,0.311192,3.0271
43.5859,0.292708,1,0.312298,0.311092,3.02844
43.6062,0.297917,1,0.312191,0.310992,3.02978
43.6264,0.313542,1,0.312084,0.310892,3.03111
43.6466,0.346875,1,0.311978,0.310793,3.03245
43.6668,0.329167,1,0.311872,0.310694,3.03379
43.6871,0.336458,1,0.311767,0.310596,3.03512
43.7073,0.333333,1,0.311663,0.310498,3.03646
43.7275,0.304167,1,0.311559,0.310401,3.0378
43.7477,0.316667,1,0.311455,0.310304,3.03913
43.768,0.319792,1,0.311352,0.310208,3.04047
43.7882,0.3,1,0.311249,0.310111,3.04181
43.8084,0.322917,1,0.311147,0.310016,3.04314
43.8286,0.3125,1,0.311045,0.309921,3.04448
43.8489,0.309375,1,0.310944,0.309826,3.04581
43.8691,0.327083,1,0.310844,0.309732,3.04715
43.8893,0.332292,1,0.310743,0.309638,3.04848
43.9095,0.328125,1,0.310644,0.309544,3.04982
43.9298,0.3,1,0.310545,0.309451,3.05115
43.95,0.334375,1,0.310446,0.309359,3.05249
43.9702,0.344792,1,0.310773,0.309267,3.05383
43.9905,0.301042,1,0.310677,0.309175,3.05516
44.0107,0.329167,1,0.310582,0.309084,3.0565
44.0309,0.313542,1,0.310487,0.308993,3.05783
44.0511,0.310417,1,0.310393,0.308903,3.05917
44.0714,0.29375,1,0.310299,0.308813,3.0605
44.0916,0.307292,1,0.310206,0.308724,3.06183
44.1118,0.311458,1,0.310326,0.308635,3.06317
44.132,0.283333,1,0.310234,0.308546,3.0645
44.1523,0.297917,1,0.310144,0.308458,3.06584
44.1725,0.310417,1,0.310054,0.30837,3.06717
