x,y_obs,weight,y_calc,y_bkg,Q
20.0023,0.596875,1,0.629966,0.629966,1.41667
20.0226,0.576042,1,0.627201,0.627201,1.41809
20.0428,0.580208,1,0.624464,0.624464,1.41951
20.063,0.529167,1,0.621754,0.621754,1.42092
20.0832,0.540625,1,0.61907,0.61907,1.42234
20.1035,0.573958,1,0.616414,0.616414,1.42376
20.1237,0.607292,1,0.613784,0.613784,1.42518
20.1439,0.540625,1,0.611181,0.611181,1.42659
20.1642,0.55625,1,0.608604,0.608604,1.42801
20.1844,0.545833,1,0.606053,0.606053,1.42943
20.2046,0.520833,1,0.603528,0.603528,1.43085
20.2248,0.576042,1,0.60103,0.601029,1.43226
20.2451,0.555208,1,0.598556,0.598556,1.43368
20.2653,0.532292,1,0.596109,0.596109,1.4351
20.2855,0.527083,1,0.593687,0.593686,1.43652
20.3057,0.557292,1,0.59129,0.591289,1.43793
20.326,0.55,1,0.588918,0.588918,1.43935
20.3462,0.563542,1,0.586571,0.586571,1.44077
20.3664,0.561458,1,0.584249,0.584249,1.44219
20.3866,0.53125,1,0.581951,0.581951,1.4436
20.4069,0.557292,1,0.579678,0.579678,1.44502
20.4271,0.552083,1,0.57743,0.577429,1.44644
20.4473,0.526042,1,0.575205,0.575205,1.44785
20.4675,0.559375,1,0.573005,0.573005,1.44927
20.4878,0.584375,1,0.570828,0.570828,1.45069
20.508,0.54375,1,0.568676,0.568675,1.4521
20.5282,0.532292,1,0.566547,0.566546,1.45352
20.5484,0.5375,1,0.564441,0.564441,1.45494
20.5687,0.530208,1,0.562359,0.562358,1.45635
20.5889,0.532292,1,0.5603,0.560299,1.45777
20.6091,0.541667,1,0.558263,0.558263,1.45919
20.6294,0.55,1,0.55625,0.55625,1.4606
20.6496,0.502083,1,0.55426,0.55426,1.46202
20.6698,0.514583,1,0.552292,0.552292,1.46344
20.69,0.533333,1,0.550347,0.550347,1.46485
20.7103,0.5375,1,0.548424,0.548423,1.46627
20.7305,0.504167,1,0.546523,0.546523,1.46769
20.7507,0.519792,1,0.544644,0.544644,1.4691
20.7709,0.544792,1,0.542787,0.542787,1.47052
20.7912,0.544792,1,0.540952,0.540952,1.47194
20.8114,0.521875,1,0.539139,0.539138,1.47335
20.8316,0.55,1,0.537347,0.537346,1.47477
20.8518,0.497917,1,0.535576,0.535576,1.47618
20.8721,0.508333,1,0.533827,0.533826,1.4776
20.8923,0.534375,1,0.532098,0.532098,1.47902
20.9125,0.55,1,0.530391,0.530391,1.48043
20.9327,0.53125,1,0.528704,0.528704,1.48185
20.953,0.540625,1,0.527038,0.527038,1.48326
20.9732,0.509375,1,0.525393,0.525393,1.48468
20.9934,0.501042,1,0.523768,0.523768,1.4861
21.0136,0.485417,1,0.522164,0.522163,1.48751
21.0339,0.498958,1,0.520579,0.520579,1.48893
21.0541,0.514583,1,0.519015,0.519014,1.49034
21.0743,0.544792,1,0.51747,0.51747,1.49176
21.0945,0.527083,1,0.515945,0.515945,1.49317
21.1148,0.548958,1,0.51444,0.51444,1.49459
21.135,0.523958,1,0.512954,0.512954,1.496
21.1552,0.523958,1,0.511488,0.511488,1.49742
21.1755,0.540625,1,0.510041,0.510041,1.49883
21.1957,0.564583,1,0.508613,0.508613,1.50025
21.2159,0.536458,1,0.507204,0.507204,1.50167
21.2361,0.501042,1,0.505814,0.505814,1.50308
21.2564,0.56875,1,0.504443,0.504442,1.5045
21.2766,0.528125,1,0.50309,0.50309,1.50591
21.2968,0.523958,1,0.501756,0.501755,1.50733
21.317,0.529167,1,0.50044,0.500439,1.50874
21.3373,0.476042,1,0.499142,0.499142,1.51016
21.3575,0.5125,1,0.497862,0.497862,1.51157
21.3777,0.535417,1,0.496601,0.496601,1.51299
21.3979,0.523958,1,0.495357,0.495357,1.5144
21.4182,0.470833,1,0.494131,0.494131,1.51582
21.4384,0.504167,1,0.492923,0.492923,1.51723
21.4586,0.505208,1,0.491732,0.491732,1.51864
21.4788,0.494792,1,0.490558,0.490558,1.52006
21.4991,0.564583,1,0.489402,0.489402,1.52147
21.5193,0.479167,1,0.488263,0.488263,1.52289
21.5395,0.516667,1,0.487141,0.487141,1.5243
21.5597,0.511458,1,0.486036,0.486036,1.52572
21.58,0.516667,1,0.484948,0.484947,1.52713
21.6002,0.530208,1,0.483876,0.483876,1.52855
21.6204,0.536458,1,0.482821,0.482821,1.52996
21.6407,0.514583,1,0.481782,0.481782,1.53137
21.6609,0.502083,1,0.48076,0.48076,1.53279
21.6811,0.532292,1,0.479754,0.479753,1.5342
21.7013,0.466667,1,0.478764,0.478763,1.53562
21.7216,0.525,1,0.477789,0.477789,1.53703
21.7418,0.542708,1,0.476831,0.476831,1.53844
21.762,0.519792,1,0.475889,0.475889,1.53986
21.7822,0.49375,1,0.474962,0.474962,1.54127
21.8025,0.505208,1,0.474051,0.47405,1.54269
21.8227,0.509375,1,0.473155,0.473154,1.5441
21.8429,0.50625,1,0.472274,0.472274,1.54551
21.8631,0.46875,1,0.471409,0.471408,1.54693
21.8834,0.479167,1,0.470558,0.470558,1.54834
21.9036,0.464583,1,0.469723,0.469723,1.54976
21.9238,0.495833,1,0.468902,0.468902,1.55117
21.944,0.504167,1,0.468097,0.468096,1.55258
21.9643,0.465625,1,0.467305,0.467305,1.554
21.9845,0.452083,1,0.466529,0.466529,1.55541
22.0047,0.522917,1,0.465767,0.465767,1.55682
22.0249,0.486458,1,0.465019,0.465019,1.55824
22.0452,0.479167,1,0.464285,0.464285,1.55965
22.0654,0.527083,1,0.463566,0.463566,1.56106
22.0856,0.497917,1,0.46286,0.46286,1.56248
22.1059,0.464583,1,0.462168,0.462168,1.56389
22.1261,0.509375,1,0.461491,0.46149,1.5653
22.1463,0.519792,1,0.460826,0.460826,1.56671
22.1665,0.525,1,0.460176,0.460176,1.56813
22.1868,0.463542,1,0.459539,0.459539,1.56954
22.207,0.4625,1,0.458915,0.458915,1.57095
22.2272,0.480208,1,0.458305,0.458304,1.57237
22.2474,0.484375,1,0.457707,0.457707,1.57378
22.2677,0.5125,1,0.457123,0.457123,1.57519
22.2879,0.513542,1,0.456552,0.456552,1.5766
22.3081,0.51875,1,0.455993,0.455993,1.57802
22.3283,0.5125,1,0.455448,0.455448,1.57943
22.3486,0.515625,1,0.454915,0.454915,1.58084
22.3688,0.488542,1,0.454394,0.454394,1.58225
22.389,0.486458,1,0.453886,0.453886,1.58367
22.4092,0.496875,1,0.453391,0.453391,1.58508
22.4295,0.464583,1,0.452908,0.452907,1.58649
22.4497,0.435417,1,0.452436,0.452436,1.5879
22.4699,0.473958,1,0.451977,0.451977,1.58932
22.4901,0.488542,1,0.45153,0.45153,1.59073
22.5104,0.465625,1,0.451095,0.451095,1.59214
22.5306,0.503125,1,0.450672,0.450672,1.59355
22.5508,0.502083,1,0.45026,0.45026,1.59497
22.5711,0.476042,1,0.44986,0.44986,1.59638
22.5913,0.511458,1,0.449471,0.449471,1.59779
22.6115,0.483333,1,0.449094,0.449094,1.5992
22.6317,0.558333,1,0.448728,0.448728,1.60061
22.652,0.50625,1,0.448374,0.448373,1.60202
22.6722,0.504167,1,0.44803,0.44803,1.60344
22.6924,0.454167,1,0.447698,0.447697,1.60485
22.7126,0.519792,1,0.447376,0.447376,1.60626
22.7329,0.485417,1,0.447065,0.447065,1.60767
22.7531,0.46875,1,0.446765,0.446765,1.60908
22.7733,0.490625,1,0.446476,0.446476,1.61049
22.7935,0.482292,1,0.446197,0.446197,1.61191
22.8138,0.477083,1,0.445929,0.445929,1.61332
22.834,0.503125,1,0.445672,0.445671,1.61473
22.8542,0.495833,1,0.445424,0.445424,1.61614
22.8744,0.495833,1,0.445187,0.445187,1.61755
22.8947,0.469792,1,0.44496,0.444959,1.61896
22.9149,0.441667,1,0.444743,0.444742,1.62037
22.9351,0.476042,1,0.444535,0.444535,1.62178
22.9553,0.451042,1,0.444338,0.444338,1.6232
22.9756,0.451042,1,0.444151,0.444151,1.62461
22.9958,0.495833,1,0.443973,0.443973,1.62602
23.016,0.476042,1,0.443805,0.443805,1.62743
23.0363,0.507292,1,0.443646,0.443646,1.62884
23.0565,0.463542,1,0.443497,0.443497,1.63025
23.0767,0.497917,1,0.443357,0.443357,1.63166
23.0969,0.50625,1,0.443227,0.443227,1.63307
23.1172,0.507292,1,0.443106,0.443105,1.63448
23.1374,0.491667,1,0.442993,0.442993,1.63589
23.1576,0.455208,1,0.44289,0.44289,1.6373
23.1778,0.46875,1,0.442796,0.442796,1.63871
23.1981,0.49375,1,0.44271,0.44271,1.64012
23.2183,0.446875,1,0.442634,0.442634,1.64153
23.2385,0.430208,1,0.442566,0.442566,1.64294
23.2587,0.482292,1,0.442507,0.442506,1.64436
23.279,0.485417,1,0.442456,0.442456,1.64577
23.2992,0.464583,1,0.442414,0.442413,1.64718
23.3194,0.445833,1,0.44238,0.44238,1.64859
23.3396,0.486458,1,0.442354,0.442354,1.65
23.3599,0.440625,1,0.442337,0.442337,1.65141
23.3801,0.426042,1,0.442327,0.442327,1.65282
23.4003,0.432292,1,0.442326,0.442326,1.65423
23.4205,0.465625,1,0.442333,0.442333,1.65564
23.4408,0.458333,1,0.442348,0.442348,1.65705
23.461,0.488542,1,0.44237,0.44237,1.65846
23.4812,0.495833,1,0.442401,0.4424,1.65986
23.5015,0.482292,1,0.442439,0.442438,1.66127
23.5217,0.48125,1,0.442484,0.442484,1.66268
23.5419,0.473958,1,0.442537,0.442537,1.66409
23.5621,0.444792,1,0.442598,0.442598,1.6655
23.5824,0.452083,1,0.442666,0.442665,1.66691
23.6026,0.475,1,0.442741,0.442741,1.66832
23.6228,0.46875,1,0.442823,0.442823,1.66973
23.643,0.453125,1,0.442913,0.442913,1.67114
23.6633,0.428125,1,0.44301,0.443009,1.67255
23.6835,0.447917,1,0.443113,0.443113,1.67396
23.7037,0.5,1,0.443224,0.443224,1.67537
23.7239,0.465625,1,0.443342,0.443341,1.67678
23.7442,0.453125,1,0.443466,0.443466,1.67819
23.7644,0.471875,1,0.443597,0.443597,1.6796
23.7846,0.419792,1,0.443734,0.443734,1.681
23.8048,0.433333,1,0.443879,0.443878,1.68241
23.8251,0.479167,1,0.444029,0.444029,1.68382
23.8453,0.509375,1,0.444187,0.444186,1.68523
23.8655,0.4375,1,0.44435,0.44435,1.68664
23.8857,0.429167,1,0.44452,0.44452,1.68805
23.906,0.480208,1,0.444696,0.444696,1.68946
23.9262,0.459375,1,0.444878,0.444878,1.69087
23.9464,0.501042,1,0.445067,0.445067,1.69227
23.9667,0.466667,1,0.445261,0.445261,1.69368
23.9869,0.460417,1,0.445461,0.445461,1.69509
24.0071,0.470833,1,0.445668,0.445667,1.6965
24.0273,0.495833,1,0.44588,0.445879,1.69791
24.0476,0.461458,1,0.446097,0.446097,1.69932
24.0678,0.488542,1,0.446321,0.446321,1.70072
24.088,0.480208,1,0.44655,0.44655,1.70213
24.1082,0.459375,1,0.446785,0.446785,1.70354
24.1285,0.483333,1,0.447025,0.447025,1.70495
24.1487,0.489583,1,0.447271,0.44727,1.70636
24.1689,0.438542,1,0.447522,0.447521,1.70776
24.1891,0.472917,1,0.447778,0.447778,1.70917
24.2094,0.482292,1,0.448039,0.448039,1.71058
24.2296,0.430208,1,0.448306,0.448306,1.71199
24.2498,0.459375,1,0.448578,0.448578,1.7134
24.27,0.444792,1,0.448855,0.448854,1.7148
24.2903,0.461458,1,0.449137,0.449136,1.71621
24.3105,0.422917,1,0.449423,0.449423,1.71762
24.3307,0.464583,1,0.449715,0.449715,1.71903
24.3509,0.486458,1,0.450011,0.450011,1.72043
24.3712,0.464583,1,0.450313,0.450312,1.72184
24.3914,0.49375,1,0.450618,0.450618,1.72325
24.4116,0.483333,1,0.450929,0.450929,1.72466
24.4319,0.453125,1,0.451244,0.451244,1.72606
24.4521,0.436458,1,0.451563,0.451563,1.72747
24.4723,0.508333,1,0.451887,0.451887,1.72888
24.4925,0.45625,1,0.452216,0.452216,1.73028
24.5128,0.454167,1,0.452548,0.452548,1.73169
24.533,0.50625,1,0.452885,0.452885,1.7331
24.5532,0.460417,1,0.453227,0.453226,1.7345
24.5734,0.463542,1,0.453572,0.453572,1.73591
24.5937,0.461458,1,0.453921,0.453921,1.73732
24.6139,0.432292,1,0.454275,0.454274,1.73873
24.6341,0.466667,1,0.454632,0.454632,1.74013
24.6543,0.478125,1,0.454993,0.454993,1.74154
24.6746,0.482292,1,0.455359,0.455358,1.74295
24.6948,0.4625,1,0.455728,0.455727,1.74435
24.715,0.498958,1,0.4561,0.4561,1.74576
24.7352,0.490625,1,0.456477,0.456477,1.74716
24.7555,0.460417,1,0.456857,0.456857,1.74857
24.7757,0.442708,1,0.457241,0.45724,1.74998
24.7959,0.46875,1,0.457628,0.457628,1.75138
24.8161,0.48125,1,0.458019,0.458018,1.75279
24.8364,0.445833,1,0.458413,0.458413,1.7542
24.8566,0.504167,1,0.45881,0.45881,1.7556
24.8768,0.505208,1,0.459211,0.459211,1.75701
24.897,0.435417,1,0.459615,0.459615,1.75841
24.9173,0.471875,1,0.460023,0.460022,1.75982
24.9375,0.472917,1,0.460433,0.460433,1.76123
24.9577,0.503125,1,0.460847,0.460846,1.76263
24.978,0.446875,1,0.461263,0.461263,1.76404
24.9982,0.46875,1,0.461683,0.461683,1.76544
25.0184,0.45,1,0.462106,0.462105,1.76685
25.0386,0.465625,1,0.462531,0.462531,1.76825
25.0589,0.436458,1,0.462959,0.462959,1.76966
25.0791,0.477083,1,0.463391,0.46339,1.77107
25.0993,0.467708,1,0.463825,0.463824,1.77247
25.1195,0.458333,1,0.464261,0.464261,1.77388
25.1398,0.44375,1,0.464701,0.4647,1.77528
25.16,0.440625,1,0.465142,0.465142,1.77669
25.1802,0.440625,1,0.465587,0.465587,1.77809
25.2004,0.467708,1,0.466034,0.466034,1.7795
25.2207,0.489583,1,0.466483,0.466483,1.7809
25.2409,0.445833,1,0.466935,0.466935,1.78231
25.2611,0.48125,1,0.467389,0.467389,1.78371
25.2813,0.45625,1,0.467846,0.467846,1.78512
25.3016,0.45,1,0.468305,0.468305,1.78652
25.3218,0.451042,1,0.468766,0.468766,1.78793
25.342,0.460417,1,0.469229,0.469229,1.78933
25.3622,0.43125,1,0.469695,0.469694,1.79074
25.3825,0.478125,1,0.470162,0.470162,1.79214
25.4027,0.438542,1,0.470632,0.470631,1.79355
25.4229,0.510417,1,0.471103,0.471103,1.79495
25.4432,0.454167,1,0.471577,0.471576,1.79636
25.4634,0.43125,1,0.472052,0.472052,1.79776
25.4836,0.473958,1,0.472529,0.472529,1.79916
25.5038,0.438542,1,0.473008,0.473008,1.80057
25.5241,0.470833,1,0.473489,0.473489,1.80197
25.5443,0.495833,1,0.473972,0.473971,1.80338
25.5645,0.480208,1,0.474456,0.474456,1.80478
25.5847,0.436458,1,0.474942,0.474941,1.80619
25.605,0.461458,1,0.475429,0.475429,1.80759
25.6252,0.455208,1,0.475918,0.475918,1.80899
25.6454,0.451042,1,0.476409,0.476409,1.8104
25.6656,0.457292,1,0.476901,0.476901,1.8118
25.6859,0.461458,1,0.477395,0.477394,1.8132
25.7061,0.498958,1,0.477889,0.477889,1.81461
25.7263,0.45625,1,0.478386,0.478385,1.81601
25.7465,0.457292,1,0.478883,0.478883,1.81742
25.7668,0.451042,1,0.479382,0.479382,1.81882
25.787,0.4375,1,0.479882,0.479882,1.82022
25.8072,0.428125,1,0.480383,0.480383,1.82163
25.8274,0.455208,1,0.480886,0.480886,1.82303
25.8477,0.459375,1,0.481389,0.481389,1.82443
25.8679,0.479167,1,0.481894,0.481894,1.82584
25.8881,0.478125,1,0.4824,0.482399,1.82724
25.9084,0.458333,1,0.482906,0.482906,1.82864
25.9286,0.471875,1,0.483414,0.483414,1.83005
25.9488,0.453125,1,0.483922,0.483922,1.83145
25.969,0.469792,1,0.484432,0.484431,1.83285
25.9893,0.476042,1,0.484942,0.484942,1.83426
26.0095,0.4625,1,0.485453,0.485453,1.83566
26.0297,0.469792,1,0.485965,0.485964,1.83706
26.0499,0.469792,1,0.486477,0.486477,1.83846
26.0702,0.463542,1,0.486991,0.48699,1.83987
26.0904,0.422917,1,0.487504,0.487504,1.84127
26.1106,0.4875,1,0.488019,0.488019,1.84267
26.1308,0.455208,1,0.488534,0.488534,1.84407
26.1511,0.421875,1,0.48905,0.489049,1.84548
26.1713,0.50625,1,0.489566,0.489565,1.84688
26.1915,0.419792,1,0.490082,0.490082,1.84828
26.2117,0.453125,1,0.4906,0.490599,1.84968
26.232,0.472917,1,0.491117,0.491117,1.85109
26.2522,0.411458,1,0.491635,0.491634,1.85249
26.2724,0.496875,1,0.492153,0.492153,1.85389
26.2926,0.452083,1,0.492672,0.492671,1.85529
26.3129,0.484375,1,0.49319,0.49319,1.8567
26.3331,0.446875,1,0.493709,0.493709,1.8581
26.3533,0.476042,1,0.494229,0.494228,1.8595
26.3736,0.440625,1,0.494748,0.494747,1.8609
26.3938,0.440625,1,0.495267,0.495267,1.8623
26.414,0.445833,1,0.495787,0.495787,1.8637
26.4342,0.479167,1,0.496307,0.496306,1.86511
26.4545,0.444792,1,0.496826,0.496826,1.86651
26.4747,0.433333,1,0.497346,0.497346,1.86791
26.4949,0.401042,1,0.497866,0.497865,1.86931
26.5151,0.414583,1,0.498386,0.498385,1.87071
26.5354,0.447917,1,0.498905,0.498905,1.87211
26.5556,0.41875,1,0.499425,0.499424,1.87352
26.5758,0.395833,1,0.499944,0.499943,1.87492
26.596,0.436458,1,0.500463,0.500462,1.87632
26.6163,0.429167,1,0.500982,0.500981,1.87772
26.6365,0.459375,1,0.501501,0.5015,1.87912
26.6567,0.429167,1,0.502019,0.502018,1.88052
26.6769,0.389583,1,0.502537,0.502536,1.88192
26.6972,0.45,1,0.503055,0.503054,1.88332
26.7174,0.425,1,0.503572,0.503572,1.88472
26.7376,0.396875,1,0.504089,0.504089,1.88612
26.7578,0.448958,1,0.504606,0.504605,1.88753
26.7781,0.491667,1,0.505122,0.505121,1.88893
26.7983,0.445833,1,0.505638,0.505637,1.89033
26.8185,0.478125,1,0.506153,0.506152,1.89173
26.8388,0.477083,1,0.506667,0.506667,1.89313
26.859,0.447917,1,0.507182,0.507181,1.89453
26.8792,0.442708,1,0.507695,0.507694,1.89593
26.8994,0.402083,1,0.508208,0.508207,1.89733
26.9197,0.440625,1,0.50872,0.50872,1.89873
26.9399,0.421875,1,0.509232,0.509231,1.90013
26.9601,0.414583,1,0.509743,0.509742,1.90153
26.9803,0.441667,1,0.510253,0.510252,1.90293
27.0006,0.432292,1,0.510762,0.510762,1.90433
27.0208,0.448958,1,0.511271,0.51127,1.90573
27.041,0.427083,1,0.511779,0.511778,1.90713
27.0612,0.405208,1,0.512286,0.512285,1.90853
27.0815,0.420833,1,0.512792,0.512791,1.90993
27.1017,0.442708,1,0.513297,0.513296,1.91133
27.1219,0.4625,1,0.513802,0.513801,1.91273
27.1421,0.428125,1,0.514305,0.514304,1.91413
27.1624,0.433333,1,0.514808,0.514807,1.91553
27.1826,0.415625,1,0.515309,0.515308,1.91693
27.2028,0.407292,1,0.51581,0.515809,1.91833
27.223,0.45,1,0.516309,0.516308,1.91973
27.2433,0.452083,1,0.516808,0.516807,1.92113
27.2635,0.4375,1,0.517305,0.517304,1.92253
27.2837,0.464583,1,0.517801,0.517801,1.92392
27.304,0.43125,1,0.518296,0.518296,1.92532
27.3242,0.461458,1,0.518791,0.51879,1.92672
27.3444,0.415625,1,0.519283,0.519283,1.92812
27.3646,0.483333,1,0.519775,0.519774,1.92952
27.3849,0.436458,1,0.520266,0.520265,1.93092
27.4051,0.453125,1,0.520755,0.520754,1.93232
27.4253,0.436458,1,0.521243,0.521242,1.93372
27.4455,0.436458,1,0.52173,0.521729,1.93512
27.4658,0.40625,1,0.522215,0.522214,1.93652
27.486,0.454167,1,0.522699,0.522698,1.93791
27.5062,0.45,1,0.523182,0.523181,1.93931
27.5264,0.428125,1,0.523663,0.523663,1.94071
27.5467,0.470833,1,0.524143,0.524143,1.94211
27.5669,0.465625,1,0.524622,0.524621,1.94351
27.5871,0.441667,1,0.525099,0.525098,1.94491
27.6073,0.417708,1,0.525575,0.525574,1.9463
27.6276,0.451042,1,0.526049,0.526048,1.9477
27.6478,0.488542,1,0.526522,0.526521,1.9491
27.668,0.46875,1,0.526993,0.526993,1.9505
27.6882,0.460417,1,0.527463,0.527462,1.9519
27.7085,0.427083,1,0.527931,0.527931,1.95329
27.7287,0.435417,1,0.528398,0.528397,1.95469
27.7489,0.448958,1,0.528863,0.528862,1.95609
27.7692,0.435417,1,0.529327,0.529326,1.95749
27.7894,0.491667,1,0.529789,0.529788,1.95889
27.8096,0.471875,1,0.530249,0.530248,1.96028
27.8298,0.44375,1,0.530707,0.530706,1.96168
27.8501,0.444792,1,0.531164,0.531163,1.96308
27.8703,0.459375,1,0.531619,0.531619,1.96448
