h,k,l,d-sp,2-theta,F_obs,F_calc,phase,mult,sig,gam,FWHM,Prfo,phase_name
1,1,1,2.82609,31.59887,70633.551,73230.117,0,8,0.02143,0.15072,0.16674,1,UN
2,0,0,2.44746,36.65425,96493.661,85376.202,0,6,0.02135,0.16951,0.18391,1,UN
2,2,0,1.73062,52.82498,61045.87,59849.787,0,12,0.02121,0.23451,0.24518,1,UN
3,1,1,1.47588,62.88922,41187.933,39910.683,0,24,0.02127,0.28012,0.28924,1,UN
2,2,2,1.41304,66.03402,44467.286,44529.754,0,8,0.02132,0.29544,0.30417,1,UN
4,0,0,1.22373,77.9889,39209.444,34313.47,0,6,0.02166,0.35962,0.36715,1,UN
3,3,1,1.12297,86.58809,24027.511,24594.233,0,24,0.02212,0.41325,0.42017,1,UN
4,2,0,1.09454,89.42807,27844.459,27027.311,0,24,0.02232,0.43272,0.43946,1,UN
