n_cubic_rows,feature,spearman_rho,abs_rho,in_figure
16024,nsites,0.6177352960108815,0.6177352960108815,True
16024,MagpieData avg_dev CovalentRadius,0.391301445271993,0.391301445271993,True
16024,MagpieData avg_dev GSvolume_pa,0.3900214011186484,0.3900214011186484,True
16024,MagpieData avg_dev MendeleevNumber,0.3785290352436593,0.3785290352436593,True
16024,avg ionic char,0.3777886644779431,0.3777886644779431,True
16024,MagpieData mean MeltingT,-0.37470974194901463,0.37470974194901463,True
16024,MagpieData avg_dev Electronegativity,0.3701648742128257,0.3701648742128257,True
16024,MagpieData avg_dev Column,0.3372123472191408,0.3372123472191408,True
16024,avg p valence electrons,0.32770947397424655,0.32770947397424655,True
16024,MagpieData mean NpValence,0.32770947397424655,0.32770947397424655,True
16024,MagpieData avg_dev SpaceGroupNumber,0.32448127491443024,0.32448127491443024,True
16024,MagpieData avg_dev NpValence,0.3043758434081836,0.3043758434081836,True
16024,MagpieData mean SpaceGroupNumber,-0.299137589798745,0.299137589798745,True
16024,F,0.2964876593424213,0.2964876593424213,True
16024,MagpieData mean Electronegativity,0.23776421538945247,0.23776421538945247,True
16024,MagpieData mean NdValence,-0.2334008217919502,0.2334008217919502,True
16024,avg d valence electrons,-0.2334008217919502,0.2334008217919502,True
16024,MagpieData avg_dev Row,0.227724210628469,0.227724210628469,True
16024,O,0.21841948946657969,0.21841948946657969,True
16024,Ba,0.214243922086082,0.214243922086082,True
16024,MagpieData mean Row,-0.2073785235550946,0.2073785235550946,True
16024,MagpieData mean GSvolume_pa,0.2072384994520471,0.2072384994520471,True
16024,MagpieData mean Column,0.20556387740677382,0.20556387740677382,True
16024,is_centrosymmetric,-0.2049530994644073,0.2049530994644073,True
16024,K,0.19838040137751825,0.19838040137751825,False
16024,compound possible,0.18837011273917942,0.18837011273917942,False
16024,MagpieData mean Number,-0.18782189234105476,0.18782189234105476,False
16024,MagpieData mean AtomicWeight,-0.1794504623998388,0.1794504623998388,False
16024,Sr,0.17609925167523427,0.17609925167523427,False
16024,Na,0.16880816712870428,0.16880816712870428,False
16024,MagpieData mean NUnfilled,-0.16606249075866994,0.16606249075866994,False
16024,MagpieData mean CovalentRadius,-0.16565298643660445,0.16565298643660445,False
16024,MagpieData mean NValence,-0.14579749051369154,0.14579749051369154,False
16024,spacegroup_num,0.140842891172795,0.140842891172795,False
16024,Rb,0.14014276366447778,0.14014276366447778,False
16024,Eu,0.13629160885831554,0.13629160885831554,False
16024,C,-0.13334556997209934,0.13334556997209934,False
16024,MagpieData mean NdUnfilled,-0.1283299772039957,0.1283299772039957,False
16024,n_symmetry_ops,-0.12344118971178158,0.12344118971178158,False
16024,Cs,0.12077033879071836,0.12077033879071836,False
16024,MagpieData avg_dev Number,0.11358886631310697,0.11358886631310697,False
16024,Ca,0.11235592652148613,0.11235592652148613,False
16024,MagpieData avg_dev NfUnfilled,0.11092327423090032,0.11092327423090032,False
